iata,name,country,latitude,longitude
AAA,Anaa Airport,PF,-17.352600,-145.509995
AAC,El Arish International Airport,EG,31.055324,33.827964
AAE,Annaba Rabah Bitat Airport,DZ,36.826781,7.813340
AAK,Aranuka Airport,KI,0.185278,173.636993
AAL,Aalborg Airport,DK,57.094763,9.849930
AAN,Al Ain International Airport,AE,24.261700,55.609200
AAP,Aji Pangeran Tumenggung Pranoto International Airport,ID,-0.374478,117.250128
AAR,Aarhus Airport,DK,56.303331,10.618286
AAT,Altay Xuedu Airport,CN,47.749886,88.085808
AAX,Romeu Zema Airport,BR,-19.563200,-46.960400
AAY,Al Ghaydah International Airport,YE,16.193341,52.174186
AAZ,Quezaltenango Airport,GT,14.865600,-91.501999
ABA,Abakan International Airport,RU,53.740002,91.385002
ABB,Asaba International Airport,NG,6.204167,6.665278
ABD,Abadan Ayatollah Jami International Airport,IR,30.367887,48.230075
ABE,Lehigh Valley International Airport,US,40.651773,-75.442797
ABI,Abilene Regional Airport,US,32.411301,-99.681900
ABJ,Félix-Houphouët-Boigny International Airport,CI,5.261390,-3.926290
ABK,Kebri Dahar Airport,ET,6.732577,44.241339
ABL,Ambler Airport,US,67.105529,-157.855339
ABM,Northern Peninsula Airport,AU,-10.946194,142.455081
ABQ,Albuquerque International Sunport,US,35.039976,-106.608925
ABR,Aberdeen Regional Airport,US,45.449100,-98.421799
ABS,Abu Simbel Airport,EG,22.375924,31.611734
ABT,King Saud Bin Abdulaziz (Al Baha) Airport,SA,20.298506,41.636153
ABU,AA Bere Tallo (Haliwen) Airport,ID,-9.074841,124.903285
ABV,Nnamdi Azikiwe International Airport,NG,9.006790,7.263170
ABX,Albury Airport,AU,-36.066758,146.959148
ABY,Southwest Georgia Regional Airport,US,31.532946,-84.196215
ABZ,Aberdeen International Airport,GB,57.201900,-2.197780
ACA,General Juan N. Álvarez International Airport,MX,16.757126,-99.753113
ACC,Kotoka International Airport,GH,5.605190,-0.166786
ACE,César Manrique-Lanzarote Airport,ES,28.945499,-13.605200
ACF,Aral Tarim Airport,CN,40.434748,81.262060
ACH,Sankt Gallen Altenrhein Airport,CH,47.485001,9.560770
ACI,Alderney Airport,GG,49.706104,-2.214720
ACK,Nantucket Memorial Airport,US,41.253101,-70.060204
ACT,Waco Regional Airport,US,31.611300,-97.230499
ACV,California Redwood Coast-Humboldt County Airport,US,40.978101,-124.109000
ACX,Xingyi Wanfenglin Airport,CN,25.083423,104.960804
ACY,Atlantic City International Airport,US,39.456201,-74.577511
ADB,Adnan Menderes International Airport,TR,38.292400,27.157000
ADD,Addis Ababa Bole International Airport,ET,8.977890,38.799301
ADE,Aden International Airport,YE,12.829564,45.029976
ADF,Adıyaman Airport,TR,37.731400,38.468899
ADJ,Marka International (Amman Civil) Airport,JO,31.972700,35.991600
ADK,Adak Airport,US,51.883564,-176.642783
ADL,Adelaide International Airport,AU,-34.947512,138.533393
ADQ,Kodiak Airport,US,57.750000,-152.494003
ADU,Ardabil Airport,IR,38.325699,48.424400
ADZ,Gustavo Rojas Pinilla International Airport,CO,12.583600,-81.711200
AEB,Baise (Bose) Bama Airport,CN,23.720600,106.959999
AEP,Aeroparque Jorge Newbery,AR,-34.559419,-58.415536
AER,Sochi International Airport,RU,43.449902,39.956600
AES,Ålesund Airport,NO,62.560443,6.110845
AET,Allakaket Airport,US,66.551804,-152.621994
AEU,Abu Musa Island Airport,IR,25.875700,55.033001
AEX,Alexandria International Airport,US,31.325828,-92.546702
AEY,Akureyri International Airport,IS,65.656573,-18.072018
AFA,Suboficial Ay Santiago Germano Airport,AR,-34.588299,-68.403900
AFL,Piloto Osvaldo Marques Dias Airport,BR,-9.866389,-56.106298
AFZ,Sabzevar National Airport,IR,36.168098,57.595200
AGA,Al Massira Airport,MA,30.322478,-9.412003
AGE,Wangerooge Airport,DE,53.782544,7.919584
AGH,Ängelholm-Helsingborg Airport,SE,56.296101,12.847100
AGI,Wageningen Airstrip,SR,5.841252,-56.673247
AGJ,Aguni Airport,JP,26.592755,127.240335
AGM,Tasiilaq Heliport,GL,65.612296,-37.618335
AGN,Angoon Seaplane Base,US,57.497097,-134.567220
AGP,Málaga-Costa del Sol Airport,ES,36.674900,-4.499110
AGR,Agra Airport / Agra Air Force Station,IN,27.157975,77.961025
AGS,Augusta Regional At Bush Field,US,33.369900,-81.964500
AGT,Guaraní International Airport,PY,-25.457186,-54.839544
AGU,Aguascalientes International Airport,MX,21.699589,-102.318372
AGX,Agatti Airport,IN,10.823700,72.176003
AHA,Maa Mahamaya Airport,IN,22.987530,83.196120
AHB,Abha International Airport,SA,18.240400,42.656601
AHE,Ahe Airport,PF,-14.428100,-146.257004
AHO,Alghero-Fertilia Airport,IT,40.632099,8.290770
AHU,Cherif Al Idrissi Airport,MA,35.177101,-3.839520
AIA,Alliance Municipal Airport,US,42.052543,-102.803965
AIN,Wainwright Airport,US,70.638000,-159.994995
AIP,Adampur Airport,IN,31.433800,75.758797
AIT,Aitutaki Airport,CK,-18.830900,-159.764008
AIU,Enua Airport,CK,-19.967800,-158.119003
AJA,Ajaccio Napoléon Bonaparte airport,FR,41.923599,8.802920
AJF,Al-Jawf International Airport,SA,29.783301,40.100905
AJI,Ağrı Airport,TR,39.655642,43.025742
AJL,Lengpui Airport,IN,23.840599,92.619698
AJN,Ouani Airport,KM,-12.131047,44.430044
AJR,Arvidsjaur Airport,SE,65.590302,19.281900
AJU,Aracaju - Santa Maria Airport,BR,-10.983940,-37.072873
AKA,Ankang Fuqiang Airport,CN,32.756960,108.873380
AKB,Atka Airport,US,52.220299,-174.205994
AKF,Kufra Airport,LY,24.178699,23.313999
AKI,Akiak Airport,US,60.902646,-161.231060
AKJ,Asahikawa Airport,JP,43.670799,142.447006
AKK,Akhiok Airport,US,56.938702,-154.182999
AKL,Auckland International Airport,NZ,-37.011990,174.786331
AKN,King Salmon Airport,US,58.677845,-156.651965
AKP,Anaktuvuk Pass Airport,US,68.133598,-151.742996
AKR,Akure Airport,NG,7.246740,5.301010
AKS,Gwaunaru'u Airport,SB,-8.702570,160.682007
AKU,Aksu Hongqipo Airport,CN,41.262501,80.291702
AKV,Akulivik Airport,CA,60.818600,-78.148598
AKX,Aktobe International Airport,KZ,50.248116,57.204144
AKY,Sittwe Airport,MM,20.133165,92.870693
ALA,Almaty International Airport,KZ,43.354267,77.042828
ALB,Albany International Airport,US,42.748299,-73.801697
ALC,Alicante-Elche Miguel Hernández Airport,ES,38.282200,-0.558156
ALF,Alta Airport,NO,69.976097,23.371700
ALG,Houari Boumediene Airport,DZ,36.693886,3.214531
ALH,Albany Airport,AU,-34.943333,117.808889
ALO,Waterloo Regional Airport,US,42.557098,-92.400299
ALP,Aleppo International Airport,SY,36.181262,37.226869
ALS,San Luis Valley Regional Airport/Bergman Field,US,37.434898,-105.866997
ALW,Walla Walla Regional Airport,US,46.094898,-118.288002
